name,website,classification,platform,confidence,signals
"Båring GF","http://båringgf.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.1.10"
"Brøndby Strand IK","http://bsifodbold.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Christiansfeld IF","http://www.christiansfeldif.dk/","custom","WordPress","high","platform:WordPress; generator:WP Rocket 3.20.1.2"
"DAI - Fodbold","http://www.dai-kbh.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Dalby GF","http://www.dalbygf.klub-modul.dk/","unknown","","low",""
"Bredebro IF","http://www.bredebro-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Dalby GI (H)","http://www.dalbysport.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Copenhagen Celtic","http://www.copenhagenceltic.com/","custom","SPA/JS-framework","medium","platform:SPA/JS-framework"
"Dalby IF / HFK fodbold","http://dalby1901.dk/","unknown","","low",""
"Dalum IF","http://www.dalumif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Dalby IF","http://www.dalbyif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Dana Cup Sports Center","http://www.danacupsportscenter.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Dejbjerglund Efterskole","http://www.dejbjerglund.dk/","custom","WordPress","high","platform:WordPress"
"Christianshavns Idræts Klub","http://www.cik-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Design- & Idrætsefterskolen Skamling","http://www.skamling.dk/","custom","WordPress","high","platform:WordPress; generator:Site Kit by Google 1.178.0"
"Darum IF","http://www.darumif.dk/","unknown","","low",""
"Brøruphus Efterskole","http://www.broeruphus.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"DGI Midtjylland","http://www.dgi.dk/fodbold/midtjylland","unknown","","low",""
"Dianalund IF","http://www.dianalundfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Djurslands Efterskole","http://www.djurslands-efterskole.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","medium","umbraco-media-path"
"Dragør Boldklub","http://www.dragoer-boldklub.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Doense/Vebbestrup IF","http://www.dvif.dk/","unknown","","low","generator:Go2Net.dk CMS v5"
"Døllefjelde Musse IF","http://www.musse.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Dronninglund IF","http://www.diffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"DGF Flensborg","http://www.dgf-flensborg.de/","custom","TYPO3","medium","platform:TYPO3; generator:TYPO3 CMS"
"Dall-Ferslev IF","http://www.dallferslev-if.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.9.4.1"
"Ebberup IF","http://www.ebberup-if.dk/","unknown","","low",""
"Dronningborg B","http://www.dbfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
