name,website,classification,platform,confidence,signals
"Glostrup FK - IF 32","http://www.glostrupfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Grejs-Dalen Idrætsklub","http://www.gdik.dk/","custom","Joomla","medium","platform:Joomla"
"Gislinge BK","http://www.gislingeboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:Elementor 3.35.9; settings: css_print_method-internal, google_font-enabled, font_display-auto"
"Grønbjerg Aktiv Fritid For Alle","http://www.groenbjerg-aktiv.dk/fodbold.html","unknown","","low",""
"Græsted IF","http://www.græstedif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Grønbjerg/Langelund IF","http://www.gliffodbold.dk/","unreachable","","n/a","fetch failed"
"Grønne Stjerne","http://www.gronnestjerne.dk/","unreachable","","n/a","fetch failed"
"Grauballe UGF","http://www.gugf.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Grindsted GIF","http://www.ggif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Greve Fodbold","http://www.grevefodbold.dk/","custom","WordPress","high","platform:WordPress"
"Grenaa IF","http://www.grenaaif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Gug B","http://www.gugboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","medium","umbraco-media-path"
"Gundsølille SGIF","http://www.gundsolille.dk/","unreachable","","n/a","fetch failed"
"Grundfør UI","http://www.guisport.dk/","unknown","","low",""
"Gråsten B","http://www.ny.graasten-boldklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Guldborg IF","http://www.guldborgif.dk/","unknown","","low",""
"Gudum Nissum IF","http://www.gnif.dk/","unknown","","low","generator:Webnode 2"
"Gudumholm IF","http://www.gudumholm-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.5"
"Gørslev IF","http://www.goerslev-if.dk/","unknown","","low",""
"Gaarslev GF","http://www.gaarslevgf.dk/","custom","WordPress","high","platform:WordPress"
"GVL Løkken","http://www.gvlloekken.dk/","unknown","","low",""
"Gærum IF","http://www.gaerum-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9"
"Gørløse SI","http://gorlosesi.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hadsten Sports Klub","http://www.hskfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Halstedhus Efterskole","http://halstedhus.dk/","custom","WordPress","high","platform:WordPress"
"Hadsund B","http://www.hadsundboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Gødvad GIF","http://www.godvad-gif.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.9.8"
"Hammerum Fri- og Efterskole","http://www.hamme.dk/","custom","Drupal","medium","platform:Drupal; generator:Drupal 11 (https://www.drupal.org)"
"Gylling Efterskole","http://www.gylling-efterskole.dk/","custom","WordPress","high","platform:WordPress"
"Hannæs Sport og Fritid","http://www.fhif.eu/","unreachable","","n/a","fetch failed"
"Hanstholm IF","http://www.hanstholm-if.dk/","unreachable","","n/a","fetch failed"
"Hammel GF","http://www.fodbold.hgfhammel.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Handelsstandens Boldklub","http://www.handelsstandensboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Hammerum IF","http://www.hammerumif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Harboøre IF","http://www.harbooreif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"HA85","http://www.ha85.dk/","custom","WordPress","high","platform:WordPress"
"Hashøj IF","http://www.hashøj-if.dk/","unreachable","","n/a","fetch failed"
"Hareskov IF","http://www.hareskovif.dk/","unknown","","low",""
"Harlev IK","http://www.harlevfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hasle B","http://www.hasleboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Haslev FC","http://www.haslev-fc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hald Ege Efterskole","http://www.hald-ege-efterskole.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Harte G & IF","http://www.hartegif.dk/","custom","WordPress","high","platform:WordPress"
"Haverslev IF","http://www.haverslev-if.dk/","unknown","","low",""
"Hatting-Torsted Fodbold","http://www.hatting-torsted.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Haubro IF","http://www.haubroif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Hasle IF","http://www.hasle-if.dk/","custom","WordPress","high","platform:WordPress"
"Havdrup Fodbold","http://www.hgi-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hals FS","http://www.halsfs.dk/","custom","WordPress","high","platform:WordPress; generator:Elementor 4.1.2; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap"
"Haderslev FK","http://www.hfk-haderslev.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hejnsvig IF","http://www.hejnsvigif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Hellevad IF","http://www.hellevad-if.dk/","unknown","","low","generator:One.com Web Editor"
"Hellas","http://www.bk-hellas.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hellerup Idræts Klub","http://www.hik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hedensted IF","http://www.hedenstedif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Helsingør IF Fodbold","http://www.helsingorif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Helsted Fremad IF","http://www.helsted-fremad.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Herfølge BK","http://www.hb.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Helsinge Fodbold","http://www.helsingefodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Herlev IF","http://www.herlevif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hersom/Bjerregrav IF","http://www.h-b-i.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hellebjerg Idrætsefterskole","http://www.hellebjerg.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.6.5"
"Herrested-Ørbæk Boldklub","http://www.hoeb.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Herlufsholm GF","http://www.hgfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Herning KFUM","http://www.herningkfumfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos"
"Hellested IF","http://www.hellested-if.dk/","custom","WordPress","high","platform:WordPress"
"HIK (professional)","http://www.hik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hesselager Fodbold","http://www.hesselagerfodbold.dk/","unknown","","low",""
"Herning Fremad","http://www.herningfremad.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Himmelev-Veddelev BK","http://www.hvb-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hillerød Fodbold","http://www.hilleroedfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Himmerlandscentrets Idrætsefterskole (Haverslev)","http://www.hci.dk/","custom","TYPO3","medium","platform:TYPO3; generator:TYPO3 CMS"
"Hirtshals B","http://www.hirtshalsboldklub.dk/","custom","Wix","high","platform:Wix; generator:Wix.com Website Builder"
"Herstedøster IC","http://www.hic.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hjembæk Efterskole","http://www.hjembaekefterskole.dk/","unknown","","low",""
"Hjordkær UIF","http://www.huiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hjørring AIK Frem","http://www.aikfrem.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hobro IK","http://www.hikfodbold.dk/","custom","WordPress","high","platform:WordPress"
"Hjørring IF","http://www.hi-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hodsager UF","http://www.hiuf.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Hjortdal Ungdoms & IF","http://www.hui-hjortdal.dk/om-fodbold/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Hjerm FIF","http://www.hjerm-fif.dk/","custom","WordPress","high","platform:WordPress"
"Holme-Olstrup Fodbold","http://www.hofodbold.dk/","unreachable","","n/a","fetch failed"
"Holluf Pile-Tornbjerg IF","http://www.hpti.dk/","unknown","","low",""
"Holbæk B&I","http://www.hbi.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"HOG Hinnerup","http://www.hog-hinnerup.dk/","unknown","","low",""
"Holsted FB","http://www.holstedfb.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Holmegaard GB","http://www.holmegaardfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Holte Star Club","http://www.holtestar.dk/","unknown","","low",""
"Holstebro B","http://www.holstebroboldklub.dk/","unknown","","low",""
"Hee SF","http://www.hee.dk/","custom","WordPress","high","platform:WordPress"
"Holmsland GU","http://www.h-gu.dk/","unknown","","low",""
"Holtet IF","http://www.holtetif.dk/","unknown","","low",""
"Horbelev IF","http://www.horbelevif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hjorten Fodbold, Herlev","http://www.hjorten.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hillerslev Sport","http://www.hillerslevsport.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Holbæk (professional)","http://www.nvfc.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Horne KFUM","http://www.hornekfum.dk/","unreachable","","n/a","fetch failed"
"Hornum IF","http://www.hornumif.dk/","unknown","","low",""
"Hornbæk IF","http://www.hornbaekif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Horsens fS","http://www.horsensfs.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Horne f. Sp.","http://www.horne-fs.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hospitalets FK","http://www.hfkfyn.dk/","unreachable","","n/a","fetch failed"
"Horsens KFUM","http://www.horsens-kfum.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Horsens Freja","http://www.horsensfreja.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos"
"Hornslet IF","http://www.hornslet-if-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Horne IF","http://www.horne-varde.dk/","custom","WordPress","high","platform:WordPress; generator:Elementor 4.1.4; features: additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-auto"
"Hovedgård IF","http://www.hovedgaard-if.dk/","unreachable","","n/a","fetch failed"
"Hou Maritime Idrætsefterskole","http://www.houmi.dk/","custom","WordPress","high","platform:WordPress"
"Houlkær Fodboldklub","http://www.houlkaer-fodboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Holte-Hus Efterskole","http://holte-hus.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Hundelev B","http://www.hundelevboldklub.dk/","unknown","","low","generator:One.com Web Editor"
"Humlebæk BK","http://www.humlebold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hundested IK","http://www.hundestedik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Hou Og Omegns IF","http://www.hoif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Hundige BK","http://www.hundigeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hover IF","http://www.hover-if.dk/","unknown","","low",""
"Hvidovre Idrætsforening","http://www.hif.dk/","unreachable","","n/a","fetch failed"
"Hvalsø IF","http://www.hvalsoeif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Højby IF","https://www.hoejbyif.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Hurup IF","http://www.hurupif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Hvidebæk IF","http://www.hvidebaek-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Højer Efterskole","http://www.h-us-dk/","unreachable","","n/a","fetch failed"
"Husum Boldklub","http://www.husumboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Houlbjerg/Laurbjerg IF","http://www.hlif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Høm/Seem UIF","http://hom-seem.dk/","unreachable","","n/a","fetch failed"
"Højen G&U","http://www.hgu.dk/","custom","WordPress","high","platform:WordPress; generator:Creattica 1.9.12"
"Hørby Efterskoles IF","http://www.hu-ungdom.dk/","unreachable","","n/a","fetch failed"
"Højer IF","http://www.højerif.dk/","unknown","","low",""
"Hornbæk SF","http://www.hsf-randers.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Højby S & G","http://www.hojbyfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Højslev Station IF","http://www.højslev-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Hørup UI","http://www.hui.dk/","unknown","","low",""
"Hørsholm-Usserød IK","http://www.hui-fodbold.dk/","unknown","","low","generator:One.com Web Editor"
"Høng GF","http://hong-gf.dk/","unknown","","low",""
"Horsens B","http://www.horsensboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.9.8"
"Høsterkøb Fodboldklub 2000","http://www.hf2000.dk/","unknown","","low",""
"Hørning GF","http://www.hgf-fodbold.dk/","unknown","","low",""
"Hørning IF","http://www.teamhif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Høje Gladsaxe IF","http://www.facebook.com/HGIiGladsaxe","custom","Shopify","medium","platform:Shopify"
"Hårslev BK","http://www.haarslev-bk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Idrætsefterskolen Lægården","http://www.optur.nu/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Hørve IF","http://www.hoerveif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 5.2.21"
"HØST IF","http://www.høstif.dk/","unknown","","low",""
"Idrætsklubben Vest af 1971","http://ik-vest.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 5.8.13"
"IF Føroyar","http://www.fotboltur.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Haarby IF","http://www.haarbyboldklub.dk/","unknown","","low",""
"IF Bytoften","http://www.if-bytoften.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"IF Midtdjurs","http://www.ifm-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"IF Fremad Nørhalne","http://www.ifn.dk/","unknown","","low",""
"IF Lyseng","http://www.lyseng.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"IF Skjold Birkerød","http://www.skjold-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"IF Svend Gønge","http://www.ifsvendgoenge.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"IF Frem Bjæverskov Fodbold","http://www.bjaeverskovfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Ingstrup SF","http://www.ingstrup.dk/","custom","WordPress","high","platform:WordPress; generator:One.com Web Editor"
"Isenvad Borger- og Idrætsforening","http://www.isenvadfodboldklub.dk/","unreachable","","n/a","fetch failed"
"IF Skjold Sæby","http://www.ifskjoldsaeby.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Islev BK","http://www.islev.dk/","unreachable","","n/a","fetch failed"
"Ingstrup Efterskoles IF","http://www.ingstrupefterskole.dk/","unknown","","low",""
"Ikast FS Fodbold","http://www.ikastfc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"ISI Idrætsefterskole","http://www.isi.dk/","unknown","","low","generator:Dynamicweb 9"
"Jels IF","http://www.jels-if.dk/","unknown","","low",""
"JAI, Aarhus","http://www.jai-fodbold.dk/","unknown","","low",""
"IS Skævinge","http://www.iss-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Jernløse BK","http://www.jernloeseboldklub.dk/","unknown","","low","generator:One.com Web Editor"
"Jinnah International School","http://jinnahschool.dk/","unreachable","","n/a","fetch failed"
"Jernved IF","http://www.123hjemmeside.dk/JernvedIF","unreachable","","n/a","fetch failed"
"IF Nordthy","http://www.ifnordthy.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.8.5"
"Jerne IF","http://www.jerneif.dk/","unknown","","low",""
"IF Mols","http://www.ifmols.net/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Hårslev Efterskole","http://haarslevefterskole.dk/","custom","WordPress","high","platform:WordPress; generator:Elementor 4.1.3; features: additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap"
"Jetsmark IF","http://www.jetsmarkif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Juelsminde IF","http://www.juelsminde-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Jyderup BK","http://www.jyderupboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Jyllinge FC","http://www.jyllinge-fc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Jægersborg Boldklub","http://www.jb-bold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Karlslunde IF","http://www.karlslundefodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Janderup FS","http://www.jfs-sport.dk/jbs-fodbold","unknown","","low","generator:MemberLink"
"Jødisk Idrætsforening Hakoah","http://hakoah.dk/","unknown","","low","generator:Webnode 2"
"Karise IK","http://www.k-i-k.dk/fodbold","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"KB 92, Karlslunde","http://www.kb92.dk/","unreachable","","n/a","fetch failed"
"Karrebæk IF","http://www.karrebaek-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Kalundborg GB","http://www.kalundborg-gb.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Kastrup Boldklub","http://www.kastrupboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"KB81 Aalborg","http://www.kb81.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Kauslunde IF","http://www.kiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Kerteminde BK","http://www.kertemindeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Jægerspris IK","http://www.jik.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"KFUMs Boldklub","http://www.kfum-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"KFUM BK, Roskilde","http://www.roskilde-kfum.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"KFUM.s BK Odense","http://www.odense-kfum.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Kildemosens BK","http://www.kildemosen.dk/","unknown","","low",""
"Kjellerup IF","http://www.kjellerup-if.dk/","unreachable","","n/a","fetch failed"
"Klejtrup B","http://www.klejtrupboldklub.dk/","unknown","","low",""
"Kirke Helsinge IF","http://www.kirkehelsinge-if.dk/","unknown","","low",""
"Kibæk IF","http://www.kif-1900.dk/","custom","WordPress","high","platform:WordPress"
"Klinte Grindløse IF","http://www.kgi-sport.dk/","custom","Joomla","medium","platform:Joomla"
"Kjøbenhavns Boldklub","http://www.kb-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Katrinebjergs Atletikforening","http://katrinebjergaf.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.8.5"
"Kløvermarkens Forenede Boldklubber","http://www.kloevermarkenfb.dk/","unknown","","low",""
"Kirke Hyllinge IF","http://www.khif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Klemensker IF","http://www.klemensker-if.dk/","custom","WordPress","high","platform:WordPress"
"Kolding B","http://www.kolding-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Koldby/Hørdum IF","http://www.khif1904.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Klovborg UF","http://www.klovborg-uf.dk/","unknown","","low",""
"Klitmøller IF","http://www.klitmøllerif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Kongerslev IF","http://www.k.if.dk/","unreachable","","n/a","fetch failed"
"Kolding IF","http://www.kif-fodbold.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"KBK Hillerød","http://www.kbk-hillerød.dk/","unknown","","low",""
"Kolt/Hasselager IF","http://www.khif.info/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Koldingegnens Idrætsefterskole","http://www.kie.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Korsholm IF","http://www.korsholm-if.dk/","unknown","","low",""
"Korinth IF","http://www.korinth-if.dk/","custom","Joomla","medium","platform:Joomla; generator:Nicepage 5.9.10, nicepage.com"
"Klokkerholm IF","http://www.klokkerholmfodbold.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Kr. Værløse IF","http://www.kvif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Kragelund Efterskole","http://www.kragelund-efterskole.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"KR 70","http://www.kr70.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.0.12"
"Kvaglund IF","http://www.kvaglundif.dk/","unreachable","","n/a","fetch failed"
"Korning IF","http://www.korningif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Kvik 70","http://www.kvik70.dk/","unknown","","low","generator:One.com Web Editor"
"Kvik IF","http://www.if-kvik.dk/Fodbold-92147","unknown","","low",""
"Knudsker IF","http://www.knudskerif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Kvistgård IF","http://www.kvistgaard-if.dk/","unknown","","low",""
"Kundby IF","http://www.kundby-if.dk/","custom","Wix","high","platform:Wix; generator:Wix.com Website Builder"
"Kolind/Perstrup IF","http://www.kolind-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.1.10"
"KU BK","http://www.kubk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
