platform,country,rating,version,author,updated,title,text,categories
"ios","dk","4","6.1","Nygaard8000","2024-12-06T06:27:50-07:00","Læst alle beskeder","Hey. Kunne i ikke lige sætte funktionen på igen som hedder markere alle beskeder som læst. Den er forsvundet i jeres opdatering.","notifikationer"
"ios","dk","3","6.1","Løvet","2024-12-06T03:44:23-07:00","Kan ikke åbne app efter automatisk opdatering","Kan ikke åbne app efter automatisk opdatering",""
"ios","dk","1","6.1","verofisher","2024-12-05T11:02:55-07:00","Latterligt dårlig","Uegnet til familier med flere forældre eller flere børn. Ubrugelig",""
"ios","dk","2","6.0.3","Lemoso","2024-11-03T12:11:18-07:00","Ualmindeligt uoverskuelig","Jeg synes at det er utrolig svært at navigere rundt i appen, og finde hold eller ligaer, samt lave favoritter.  Og så er registreringsprocessen også super clunky, og tager flere dage.. det har jeg sørme aldrig oplevet før.","ux_findbarhed"
"ios","dk","2","6.0.3","Umulig og ubrugelig app","2024-09-30T09:11:52-07:00","Ringe","Det er meget vanskeligt at være forældre til flere fodboldbørn og bruge denne app. Man skal ind i en undermenu for at logge ud og når man logger ind med det andet barn, får man oftest en fejlmeddelse “Fejl i hentning af aktivitet”.   Man bør lave en opdatering af appen, hvor man gør det nemmere at benytte flere brugere (da nogle har flere end et barn, der spiller fodbold og nogle også selv spiller).","nedbrud_fejl|login_adgang"
"ios","dk","2","6.0.3","Arboe","2024-09-25T08:38:13-07:00","Uoverskuelig","Jeg er desværre (heller) ikke fan af App’en efter sidste overhaling. Den fremstår som fodboldforældre-bruger, ikke særlig intuitiv eller smart. Kan se supporten svarer på anmeldelserne og indbyder til feedback på mail, så det gør at jeg sniger mig op på 2 stjerner. Hvis det så betyder at det faktisk bliver forbedret, så må antal stjerner selvfølgelig revurderes.","ux_findbarhed|login_adgang"
"ios","dk","1","6.0.2","HerkertmedH","2024-07-03T02:12:48-07:00","Dårligt system","Jeg giver denne app 1 stjerne.  Appen er utroligt dårligt sat op. Det virker, som om udviklerne har fokuseret på alt muligt unødvendigt i stedet for at prioritere funktionalitet og brugervenlighed. Den er rodet, svær at navigere i, og lever slet ikke op til forventningerne.","ux_findbarhed|login_adgang"
"ios","dk","1","6.0","Ingolf 52","2024-06-17T13:00:23-07:00","Sikke en omgang l…","Nu orker jeg ikke denne app mere den er blevet så besværlig og hvad ved jeg så ud med den.","ux_findbarhed"
"ios","dk","1","6.0","Lieberkind333","2024-06-17T12:20:38-07:00","Crasher og ringe UX","Ny opdatering har formået at gøre UX endnu værre end sidste sidste store UX opdatering.   Denne gang crasher appen også når man forsøger at åbne den nye funktion “Mine stats”.  Bliver der overhovedet testet inden i lancerer opdateringer? Appen bliver kun værre hver gang der kommer noget nyt.  Skuffende.","nedbrud_fejl"
"ios","dk","2","6.0","Nynsen","2024-06-17T09:29:45-07:00","App crasher","Lige opdateret app’en, som efter jeres mening skulle være fremragende.   Nu crasher den så bare som aldrig før :-/  Kunne bedre lide den gamle version!","nedbrud_fejl"
"ios","dk","2","5.4","ronrondk","2024-04-28T04:26:45-07:00","App crasher","Jeg har i længere tid mødt beskeden på forsiden om, at jeg skal opdatere til den nye app. Men når jeg klikker på beskeden, crasher appen. Jeg kan heller ikke opdatere igennem AppStore, da den ikke mener der er en opdatering. Har også prøvet at slette app og installere igen. Men stadig samme problem.","nedbrud_fejl|notifikationer"
"ios","dk","1","5.3.2","Mads_Mm","2024-04-09T09:13:32-07:00","Dårligt","Appen crasher hele tiden man kan ikke have den åbnet i mere end 40 sekunder uden at den fryser.   Alt for mange reklamer det ødelægger det  Og appen er rodet  Men ellers fungerer appen som den skal","ux_findbarhed|nedbrud_fejl"
"ios","dk","1","5.3","nnmlkæk","2024-04-02T04:25:22-07:00","Bøvl med DBU- app.","Hej DAB uge. Jeg er en helt blind bror er den er fodbold app, så jeg kan følge med i min barndomsklub. Men jeg kan ikke komme ind og åbne sø, søgklub, tilføje favorit eller noget som helst der sker intet når jeg trykker på de forskellige knapper. Er der andre har dette problem? Og er det fordi at den er i karambolage med VoiceOver? jeg har prøvet at slette appen helt og installere igen. Jeg kan heller ikke opdatere den.",""
"ios","dk","1","5.3","levirX","2024-03-23T03:57:37-07:00","Uoverskueligt","Savner gamle app,hvor man kunne se flere dage samtidig. Kunne man lave sådan at man vælger i indstilinger om man vil se en dage eller flere dage?","ux_findbarhed"
"ios","dk","3","5.2.1","BountyLalala","2024-02-28T04:24:51-07:00","En stor bøn","Gør det meget gerne MEGET nemmere at skifte mellem profiler i appen. Det er møgbesværligt at skifte mellem sine fodboldspillende børns profiler","ux_findbarhed"
"ios","dk","1","5.2.1","Fedtøre1234","2024-02-01T13:03:38-07:00","Skod app","Virkelig en skod app med alt for mange ting man skal bruge en pc til",""
