name,website,category,deepLooksLikeGuide,matchUrl,matchText
"Bjert IF","http://www.bjertif.dk/","unreachable","","",""
"BGI Akademiet","http://www.bgi.dk/","ingen-paa-forside","","",""
"Bispebjerg Boldklub","http://www.bispebjergboldklub.dk/","ingen-paa-forside","","",""
"BK Avarta","http://www.avarta.dk/","ingen-paa-forside","","",""
"Bjerringbro IF","http://www.bjerringbroif.dk/","ingen-paa-forside","","",""
"Bedsted IF","http://www.bedstedif.dk/","ingen-paa-forside","","",""
"BK Vestfyn","http://www.bkvestfyn.dk/","unreachable","","",""
"BK Friheden","http://www.bkfriheden.dk/","ingen-paa-forside","","",""
"BK Stjernen af 1968","http://www.bkstjernen.dk/","kun-link-til-dbu","","https://mit.dbu.dk/MyTeam/MyTeam.aspx","Kampklar"
"BK Frem (professional)","http://www.bkfrem.dk/","ingen-paa-forside","","",""
"Blenstrup IF","http://www.blenstrup-if.dk/","ingen-paa-forside","","",""
"BK Vest, Rødovre","http://www.bk-vest.dk/","ingen-paa-forside","","",""
"Boeslunde BK","http://www.boeslundeboldklub.dk/","ingen-paa-forside","","",""
"Bolbro GIF","http://www.bolbrogif.dk/","ingen-paa-forside","","",""
"Boldklubben af 1893","http://fodbold.b93.dk/","ingen-paa-forside","","",""
"Bogense G & IF","http://www.bgfodbold.dk/","ingen-paa-forside","","",""
"Boldklubben 1903","http://www.b1903.dk/","ingen-paa-forside","","",""
"Bjerregrav B","http://www.bjerregrav-boldklub.dk/","ingen-paa-forside","","",""
"Boldklubben 1908","http://www.b1908.dk/","ingen-paa-forside","","",""
"BK Posten","http://www.bkposten.dk/","ingen-paa-forside","","",""
"Blovstrød IF","http://www.blovstrod-if.dk/","ingen-paa-forside","","",""
"Avedøre IF","http://www.avedorefodbold.dk/","ingen-paa-forside","","",""
"Boldklubben anno 2007","http://www.facebook.com/BKanno2007","ingen-paa-forside","","",""
"Boldklubben Heimdal","https://www.holdsport.net/klub/boldklubben-heimdal","ingen-paa-forside","","",""
"Boldklubben Enghaven","http://www.bk-enghaven.dk/","ingen-paa-forside","","",""
"Boldklubben Klitten","http://boldklubbenklitten.dk/","unreachable","","",""
"Boldklubben Fremad Amager","http://www.fremad-amager.dk/","ingen-paa-forside","","",""
"Boldklubben Fremad Valby","http://www.fremadvalby.dk/","egen-kampklar-side","true","https://www.fremadvalby.dk/fodbold/information/kampklar/","KampKlar"
"Boldklubben Frem","http://bkfrem.dk/","ingen-paa-forside","","",""
"Boldklubben Pioneren","http://www.pioneren.dk/","ingen-paa-forside","","",""
"Boldklubben Fix","http://www.boldklubbenfix.dk/","egen-kampklar-side","true","https://www.boldklubbenfix.dk/boern-ungdom/info/kampklar-ny-spiller-foraeldre/","Kampklar - Ny spiller/for&#230;ldre"
"Boldklubben Marienlyst","http://www.b-marienlyst.dk/","ingen-paa-forside","","",""
"Boldklubben Døvania","http://www.dovania.dk/","ingen-paa-forside","","",""
"Boldklubben Sundby KFUM","http://www.sundby-kfum.dk/","unreachable","","",""
"Boldklubben Skjold","http://www.bkskjold.dk/","ingen-paa-forside","","",""
"Boldklubben Hekla","http://www.bkhekla.dk/","ingen-paa-forside","","",""
"Boldklubben Stefan","http://www.bkstefan.dk/","ingen-paa-forside","","",""
"Boldklubben Vestkysten","http://www.bvoksbol.dk/","ingen-paa-forside","","",""
"Boldklubben Rødovre","http://www.bkrodovre.dk/","egen-kampklar-side","true","https://www.bkrodovre.dk/klubben/kampklar-spillerlicens-hjaelp/","Kampklar, Spillerlicens HJ&#198;LP!"
"Boldklubben Volvox","http://www.volvox.dk/","ingen-paa-forside","","",""
"Boldklubben Olympia 1921","http://www.bkolympia1921.dk/","ingen-paa-forside","","",""
"Boldklubben Union","http://www.bkunion.dk/","ingen-paa-forside","","",""
"Borup IF (J)","http://www.borupif.dk/","ingen-paa-forside","","",""
"Bording IF","http://www.bordingif.dk/","ingen-paa-forside","","",""
"Bork FK","http://www.borkfk.dk/","ingen-paa-forside","","",""
"Bov IF","http://fodbold.bovif.dk/","ingen-paa-forside","","",""
"Borup IF Fodbold","http://www.borupfodbold.dk/","ingen-paa-forside","","",""
"Bramdrupdam GIF","http://www.bgif.dk/","egen-guide","false","https://bgif.dk/kampklar-guide/","Kampklar"
"Brabrand IF","http://www.brabrand-fodbold.dk/","egen-kampklar-side","true","https://www.brabrand-fodbold.dk/spiller/kampklar-dbu-appen/","Kampklar - DBU Appen"
"Bramming B","http://www.brammingboldklub.dk/","ingen-paa-forside","","",""
"Brabrand IF (professional)","http://www.brabrandfodbold.dk/","ingen-paa-forside","","",""
"Bramsnæs FB","http://www.bramsnaesfb.dk/","ingen-paa-forside","","",""
"Bredballe IF","http://www.bredballe-if.dk/fodbold/","ingen-paa-forside","","",""
"Brande IF","http://www.brande-if.dk/","ingen-paa-forside","","",""
"Brovst IF","http://www.brovst-if.dk/","unreachable","","",""
"Brede IF","http://www.brede-if.dk/","ingen-paa-forside","","",""
"Broager UI","http://www.bui-fodbold.dk/","ingen-paa-forside","","",""
"Borsholm-Skibstrup IF","http://www.borsholm.dk/","ingen-paa-forside","","",""
"Boldklubben Vestia","http://www.vestia.dk/","ingen-paa-forside","","",""
"Bryrup IF","http://www.bryrupif.dk/","unreachable","","",""
"Branderslev IF","http://www.branderslevif.dk/","ingen-paa-forside","","",""
"Brødeskov IF","http://www.broedeskov.dk/","ingen-paa-forside","","",""
"Boldklubben VLI","http://www.vlifodbold.dk/","ingen-paa-forside","","",""
"Brylle BK","http://www.bryllebk.dk/","ingen-paa-forside","","",""
"Brædstrup IF","http://braedstrupiffodbold.dk/","ingen-paa-forside","","",""
"Brønderslev IF","http://www.bi-fodbold.dk/","ingen-paa-forside","","",""
"Brøndbyernes IF","http://www.brondbyif.net/","ingen-paa-forside","","",""
"Bække SF","http://www.baekke.dk/","ingen-paa-forside","","",""
"BUF Horsens","http://www.bufhorsens.dk/","ingen-paa-forside","","",""
"Bruunshåb-Tapdrup-Arnbjerg IF","http://www.bt-if.dk/","ingen-paa-forside","","",""
"Bøvling UF","http://www.boevlingik.dk/","ingen-paa-forside","","",""
"Brønshøj Boldklub","http://www.bronshojboldklub.dk/","ingen-paa-forside","","",""
"Brøndby Strand IK","http://bsifodbold.dk/","ingen-paa-forside","","",""
"Bøvling Idrætsefterskole","http://www.bi-efterskole.dk/","ingen-paa-forside","","",""
"Christiania Sports Club","http://www.cscfodbold.dk/","ingen-paa-forside","","",""
"Christiansbjerg IF","http://www.cif-fodbold.dk/","ingen-paa-forside","","",""
"CBS Sport","http://www.cbssport.dk/","ingen-paa-forside","","",""
"Båring GF","http://båringgf.dk/","ingen-paa-forside","","",""
"Dalby GF","http://www.dalbygf.klub-modul.dk/","ingen-paa-forside","","",""
"Bredebro IF","http://www.bredebro-if.dk/","ingen-paa-forside","","",""
"DAI - Fodbold","http://www.dai-kbh.dk/","ingen-paa-forside","","",""
"Brøruphus Efterskole","http://www.broeruphus.dk/","ingen-paa-forside","","",""
"Dalby GI (H)","http://www.dalbysport.dk/","ingen-paa-forside","","",""
"Copenhagen Celtic","http://www.copenhagenceltic.com/","ingen-paa-forside","","",""
"Christiansfeld IF","http://www.christiansfeldif.dk/","ingen-paa-forside","","",""
"Dalby IF / HFK fodbold","http://dalby1901.dk/","ingen-paa-forside","","",""
"Dalby IF","http://www.dalbyif.dk/","ingen-paa-forside","","",""
"Christianshavns Idræts Klub","http://www.cik-fodbold.dk/","ingen-paa-forside","","",""
"Dalum IF","http://www.dalumif.dk/","ingen-paa-forside","","",""
"Dana Cup Sports Center","http://www.danacupsportscenter.dk/","ingen-paa-forside","","",""
"Design- & Idrætsefterskolen Skamling","http://www.skamling.dk/","ingen-paa-forside","","",""
"Dejbjerglund Efterskole","http://www.dejbjerglund.dk/","ingen-paa-forside","","",""
"Darum IF","http://www.darumif.dk/","ingen-paa-forside","","",""
"Dianalund IF","http://www.dianalundfodbold.dk/","ingen-paa-forside","","",""
"DGI Midtjylland","http://www.dgi.dk/fodbold/midtjylland","ingen-paa-forside","","",""
"Djurslands Efterskole","http://www.djurslands-efterskole.dk/","ingen-paa-forside","","",""
"Dansk Træner Union","http://www.dtunet.dk/","ingen-paa-forside","","",""
"Dragør Boldklub","http://www.dragoer-boldklub.dk/","ingen-paa-forside","","",""
"Doense/Vebbestrup IF","http://www.dvif.dk/","ingen-paa-forside","","",""
"Dronningborg B","http://www.dbfodbold.dk/","ingen-paa-forside","","",""
"Døllefjelde Musse IF","http://www.musse.dk/","ingen-paa-forside","","",""
"DGF Flensborg","http://www.dgf-flensborg.de/","ingen-paa-forside","","",""
"Dronninglund IF","http://www.diffodbold.dk/","ingen-paa-forside","","",""
"Egen UI","http://www.eui.dk/","ingen-paa-forside","","",""
"Egebjerg IF","http://www.egebjerg-if.dk/","ingen-paa-forside","","",""
"Ebberup IF","http://www.ebberup-if.dk/","ingen-paa-forside","","",""
"Egebjerg Fodbold","http://www.egebjerg-fodbold.dk/","ingen-paa-forside","","",""
"Egmont Rollators FC","http://www.egmontrollatorsfc.dk/","ingen-paa-forside","","",""
"De 7 Dale Idrætsforening","https://de7dale-if.dk/","ingen-paa-forside","","",""
"Ebeltoft IF","http://www.ebeltoftfodbold.dk/","egen-kampklar-side","false","https://www.ebeltoftfodbold.dk/om-klubben/for-traenere/kampklar/","Kampklar"
"Ejstrupholm IF","http://www.ejstrupholmif.dk/","unreachable","","",""
"Endeslev-Vråby IF","http://www.evif.dk/","unreachable","","",""
"Ejby IK","http://www.ejbyik.dk/","ingen-paa-forside","","",""
"Egtved IF","http://www.egtvedif.dk/dk/fodbold/","ingen-paa-forside","","",""
"Elbæk Efterskole","http://www.elbaek-efterskole.dk/","ingen-paa-forside","","",""
"Efterskolen Ådalen","http://www.efterskolen-aadalen.dk/","ingen-paa-forside","","",""
"Errindlev G & I","http://www.egi.dk/","ingen-paa-forside","","",""
"Ejby IF Fodbold","http://www.ejbyiffodbold.dk/","ingen-paa-forside","","",""
"Esbjerg Firmaidræt","http://www.esbjerg-firmaidraet.dk/","ingen-paa-forside","","",""
"Ejby IF 1968","http://www.ejbyif68.dk/","egen-kampklar-side","false","https://www.ejbyif68.dk/kampklar/","Kampklar"
"Esbjerg fB","http://www.efb.dk/","ingen-paa-forside","","",""
"Erritsø GIF","http://www.egif-fodbold.dk/","egen-kampklar-side","true","https://www.egif-fodbold.dk/medlem/kampklar/","Kampklar"
"Dall-Ferslev IF","http://www.dallferslev-if.dk/","ingen-paa-forside","","",""
"Espergærde IF","http://www.eif-fodbold.dk/","ingen-paa-forside","","",""
"Eskilstrup BK","http://www.eskilstrupboldklub.dk/","ingen-paa-forside","","",""
"Esbjerg IF 92","http://www.if92fodbold.dk/","ingen-paa-forside","","",""
"Esrum IF","http://www.esrumif.dk/","egen-guide","false","https://www.esrumif.dk/media/1758/informationsbrev-omkring-kampklar-ver-c.pdf","Guide til kampklar"
"FA 2000","http://www.frederiksbergalliancen.dk/","ingen-paa-forside","","",""
"Farsø/Ullits IK","http://www.fuik.dk/","ingen-paa-forside","","",""
"FC Avrasya","http://www.avrasya.dk/","ingen-paa-forside","","",""
"F.C. Gladsaxe","http://www.fcgladsaxe.dk/","ingen-paa-forside","","",""
"Farum BK","http://www.farum-boldklub.dk/","ingen-paa-forside","","",""
"FC Bøgeskov","http://www.fcbøgeskov.dk/","unreachable","","",""
"Fanø B","http://www.fanøboldklub.dk/","ingen-paa-forside","","",""
"Faxe BK","https://faxeboldklub.dk/","ingen-paa-forside","","",""
"FC Dunav","http://www.fcdunav.dk/","unreachable","","",""
"F.C. Lange Bolde","http://www.fclangebolde.dk/","ingen-paa-forside","","",""
"FC Culpa","http://www.fcculpa.dk/","ingen-paa-forside","","",""
"FC Campus","http://www.fccampus.dk/","ingen-paa-forside","","",""
"FC Glesborg","http://www.fc-glesborg.dk/","ingen-paa-forside","","",""
"FC BiH Odense","http://www.facebook.dk/FcBihOdense","ingen-paa-forside","","",""
"FC Hjallese","http://www.fchjallese.dk/","ingen-paa-forside","","",""
"FC Faaborg","http://www.fcfaaborg.dk/","ingen-paa-forside","","",""
"FC Broby","http://www.fcbroby.dk/","egen-kampklar-side","true","https://www.fcbroby.dk/klubben/fcb-er-kampklar-er-du/","FCB er kampklar! Er du?"
"FC Hvidovre","http://www.fchvidovre.dk/","ingen-paa-forside","","",""
"FC Holte","http://www.fcholte.dk/","ingen-paa-forside","","",""
"FC Kurant","http://www.fckurant.dk/","ingen-paa-forside","","",""
"FC Lejre","http://www.fclejre.dk/","kun-link-til-dbu","","https://klubservice.dbu.dk/kampklar/","DBU KampKlar"
"FC Horsens","http://www.fchorsens.dk/","ingen-paa-forside","","",""
"FC Jonstrup","http://www.fcjonstrup.dk/","ingen-paa-forside","","",""
"FC King George","http://www.fckg.dk/","ingen-paa-forside","","",""
"FC Nanoq","http://www.fcnanoq.dk/","ingen-paa-forside","","",""
"FC Nakskov","http://www.fcnakskov.dk/","ingen-paa-forside","","",""
"FC Nyhavn","http://www.facebook.com/FCNyhavn/","ingen-paa-forside","","",""
"FC Odense","http://www.fcodense.dk/","ingen-paa-forside","","",""
"FC SevenOaks","http://www.fcsevenoaks.dk/","unreachable","","",""
"FC Ryparken","http://www.fcryparken.dk/","ingen-paa-forside","","",""
"FC Royal","http://www.facebook.com/FC.Royal.Fodbold.Aarhus","ingen-paa-forside","","",""
"FC Damsø","http://www.fcdamsoe.dk/","ingen-paa-forside","","",""
"FC Skanderborg","http://www.fcskanderborg.dk/","ingen-paa-forside","","",""
"FC Sydvest 05 Tønder (professional)","http://www.fcsydvest.dk/","ingen-paa-forside","","",""
"FC Udfordringen","http://www.fcudfordringen.dk/","ingen-paa-forside","","",""
"FC Roskilde (professional)","http://www.fc-roskilde.dk/","ingen-paa-forside","","",""
"FC Ypsilon","http://www.fcy.dk/","ingen-paa-forside","","",""
"FC Rangers","http://www.fcrangers.dk/","ingen-paa-forside","","",""
"FC Helsingør","http://www.fchtalent.dk/","ingen-paa-forside","","",""
"FF Klettar","http://www.ffklettar.dk/","unreachable","","",""
"Felsted IF","http://www.felsted-if.dk/","ingen-paa-forside","","",""
"FCH 6100","http://www.fch6100.dk/","ingen-paa-forside","","",""
"FIF, Hillerød","http://www.fif-hillerod.dk/","ingen-paa-forside","","",""
"FC Storebælt","http://www.fcstorebaelt.dk/","ingen-paa-forside","","",""
"Filskov IF","http://www.filskov-if.dk/","ingen-paa-forside","","",""
"Fjerritslev IF","http://www.fiffodbold.dk/","ingen-paa-forside","","",""
"FK Odsherred","http://www.fkodsherred.dk/","ingen-paa-forside","","",""
"Fjorden IF","http://www.iffjorden.dk/","ingen-paa-forside","","",""
"Fjordager IF","http://www.fjordagerfodbold.dk/","ingen-paa-forside","","",""
"Feldborg/Haderup IF","http://www.fhif.dk/","ingen-paa-forside","","",""
"Flemløse BK","http://www.flemloese-boldklub.dk/","ingen-paa-forside","","",""
"Fjelsted/Harndrup IF","http://www.fjelstedharndrup-if.dk/","ingen-paa-forside","","",""
"Fodboldklubben Prespa","http://www.fkprespa.dk/","ingen-paa-forside","","",""
"FK Utopia","http://www.fkutopia.dk/","ingen-paa-forside","","",""
"FLUIF-MORS","http://www.fluif.dk/","ingen-paa-forside","","",""
"Football Club Vietnam","http://www.fcvn.dk/","unreachable","","",""
"FK 73","http://www.fk73.dk/","ingen-paa-forside","","",""
"FodboldHoldet Herning","http://www.fhherning.dk/","ingen-paa-forside","","",""
"Fortuna Hjørring","http://www.fortunahjorring.dk/","ingen-paa-forside","","",""
"Fortuna Hjørring (professional)","http://www.fortunahjorring.dk/","ingen-paa-forside","","",""
"Fodboldklubben Sorø Freja","http://www.sorøfreja.dk/","ingen-paa-forside","","",""
"Fr.holm Sydhavnen","http://www.boldklubbenfrederiksholmsydhavnen.dk/","ingen-paa-forside","","",""
"Foulum IF","http://www.foulumif.dk/","ingen-paa-forside","","",""
"Fortuna Svendborg","http://www.fortuna-svendborg.dk/","egen-guide","true","https://www.fortuna-svendborg.dk/foraeldreinfo/kom-i-gang-med-kampklar/","Kom i gang med Kampklar"
"Frederikshavn fI","http://www.ffifodbold.dk/","ingen-paa-forside","","",""
